year,lat,long,count
1970,-37.81319,144.96298,1
1970,-34.89115,-56.18721,32
1970,-34.86482,-57.90852,1
1970,-34.61768,-58.44444,12
1970,-34.42244,-58.73776,1
1970,-32.95105,-60.66636,1
1970,-31.63237,-60.69936,1
1970,-31.3993,-64.18213,2
1970,-30.03411,-51.21784,1
1970,-27.58325,-56.68333,1
1970,-26.80828,-65.21759,1
1970,-25.28277,-57.63561,1
1970,-23.55071,-46.63348,1
1970,-22.90828,-43.19703,3
1970,-8.04802,-34.87634,1
1970,5.0591,-75.50596,1
1970,10.06351,-69.33472,1
1970,10.48283,-66.96213,1
1970,11.58656,122.75372,1
1970,12.10382,-86.26701,1
1970,14.59605,120.97867,1
1970,14.62287,-90.52907,3
1970,14.67428,121.0575,2
1970,15.153,120.59194,1
1970,15.18592,120.54187,1
1970,15.67505,120.33162,1
1970,18.37963,-67.18842,4
1970,18.38,-65.83095,1
1970,18.38693,-66.06113,10
1970,18.44196,-66.02632,1
1970,18.45679,-69.95116,2
1970,18.46079,-66.26488,1
1970,19.37189,-99.08662,1
1970,24.89112,67.14331,1
1970,25.72085,-80.27786,2
1970,25.77459,-80.2142,2
1970,26.0112,-80.14949,1
1970,27.19999,-80.25536,1
1970,27.77118,-82.63932,2
1970,27.8074,-82.68977,1
1970,28.53824,-81.37739,2
1970,28.94956,-95.34437,1
1970,29.64766,-82.34846,1
1970,29.81382,-95.3653,5
1970,30.44334,-91.18699,4
1970,30.49392,-90.13251,1
1970,30.58814,-84.58093,1
1970,31.19806,29.91917,1
1970,31.53024,35.09416,1
1970,31.95,35.93333,7
1970,32.22223,-110.92575,1
1970,32.3575,-84.95623,1
1970,32.50064,-94.74108,2
1970,32.71569,-117.16172,3
1970,33.44826,-112.07577,1
1970,33.58041,130.39636,1
1970,33.60651,-88.65042,3
1970,33.62905,-117.69125,1
1970,33.65597,-84.44896,1
1970,33.68373,-117.79461,3
1970,33.73787,-118.28466,1
1970,33.74557,-117.86783,1
1970,33.76672,-118.1924,1
1970,33.78382,-118.11409,2
1970,33.83651,-86.25475,1
1970,33.87112,-117.8614,1
1970,33.88292,-117.9291,2
1970,33.88716,-118.41084,1
1970,33.88852,35.50351,1
1970,33.89528,-118.22433,1
1970,33.94615,-118.08295,1
1970,33.948,-83.37732,1
1970,33.94832,-86.47294,1
1970,33.96307,-118.23257,1
1970,34.06268,-117.16318,1
1970,34.06857,-118.02761,1
1970,34.09787,-118.40738,12
1970,34.10524,-117.29412,1
1970,34.41217,-119.85704,1
1970,34.41926,-119.69887,1
1970,35.04644,-85.30946,1
1970,35.08432,-106.61978,1
1970,35.14968,-90.04893,1
1970,35.22076,-97.4466,1
1970,35.2225,-80.83754,1
1970,35.72453,51.40519,3
1970,35.76625,-117.37067,6
1970,35.90491,-79.04691,1
1970,35.9482,-77.79521,1
1970,36.312,-78.5882,5
1970,36.74068,-119.78573,2
1970,37.0051,-89.17627,9
1970,37.00532,-89.17616,1
1970,37.02368,-94.7355,1
1970,37.26489,-81.24027,1
1970,37.33848,-121.88579,1
1970,37.4243,-122.14391,2
1970,37.4328,-121.89726,1
1970,37.54703,-122.31483,1
1970,37.54815,-121.98857,1
1970,37.75536,-122.44335,11
1970,37.77442,-122.27548,1
1970,37.79193,-122.22591,8
1970,37.83146,-122.28516,1
1970,37.87404,-122.28002,17
1970,37.90118,-122.06163,2
1970,37.93781,-122.34271,1
1970,37.97457,-122.53247,2
1970,37.99749,23.76273,2
1970,38.0193,-122.13406,1
1970,38.10083,-122.25495,1
1970,38.23247,-122.64445,1
1970,38.39565,27.13564,1
1970,38.55024,-90.33272,1
1970,38.5513,-121.47107,1
1970,38.56312,-76.07806,1
1970,38.57906,-121.49101,1
1970,38.62442,-90.1506,1
1970,38.62774,-90.19951,1
1970,38.7881,-90.49748,1
1970,38.86428,-104.77841,1
1970,38.90864,-77.01538,12
1970,38.95434,-95.2558,1
1970,38.97306,-95.23653,2
1970,39.07859,-84.17941,1
1970,39.16261,-76.62469,1
1970,39.17609,-94.57413,8
1970,39.22684,-84.45331,1
1970,39.26931,-76.50352,1
1970,39.30834,-76.6161,3
1970,39.33482,-77.43165,1
1970,39.46479,-76.8292,1
1970,39.53894,-76.34848,1
1970,39.6404,-86.86162,1
1970,39.64504,-79.18313,1
1970,39.75897,-104.8763,8
1970,39.93077,32.76754,10
1970,39.93345,-75.10674,1
1970,40.00758,-105.26594,3
1970,40.00817,-75.13549,2
1970,40.01499,-105.27055,1
1970,40.10195,-88.22716,1
1970,40.10241,-88.22716,2
1970,40.1142,-88.2435,2
1970,40.11675,-88.23927,1
1970,40.20119,-77.18917,1
1970,40.33658,-75.92784,1
1970,40.34746,-94.87291,1
1970,40.5894,-73.66635,1
1970,40.61762,-74.41706,1
1970,40.69713,-73.93135,81
1970,40.71789,-74.06747,1
1970,40.73197,-74.17418,1
1970,40.7595,-111.88823,1
1970,40.81898,-73.59572,1
1970,40.85122,-90.86437,1
1970,40.94691,-90.36466,1
1970,41.00185,-80.34724,1
1970,41.0842,-81.51406,2
1970,41.10618,28.68986,1
1970,41.18188,-73.19127,2
1970,41.242,-82.61524,1
1970,41.26068,-95.94047,3
1970,41.31206,-72.92829,1
1970,41.31632,-72.92234,1
1970,41.35644,-72.09647,1
1970,41.47956,-81.67546,3
1970,41.52494,-88.08459,1
1970,41.57966,-93.62151,4
1970,41.63768,-70.93087,1
1970,41.65783,-91.52653,1
1970,41.67086,-83.54385,1
1970,41.76332,-72.67407,1
1970,41.80774,-72.25398,1
1970,41.82277,-90.53897,1
1970,41.8426,-87.68123,10
1970,41.89096,12.49007,3
1970,42.02534,-93.6202,2
1970,42.03927,-87.85998,1
1970,42.05646,-87.67527,1
1970,42.26341,-83.66528,1
1970,42.27804,-83.73822,1
1970,42.30163,-71.0676,3
1970,42.33168,-83.04792,7
1970,42.3501,-71.15644,1
1970,42.3505,-71.1054,1
1970,42.36679,-71.10602,2
1970,42.377,-71.11666,1
1970,42.45523,-76.47585,3
1970,42.45717,-71.06405,1
1970,42.46634,-96.41405,1
1970,42.47031,-96.41395,5
1970,42.48,-96.41305,1
1970,42.50583,-71.19376,1
1970,42.58176,-71.79226,1
1970,42.7375,-84.48378,4
1970,42.81198,-70.87264,1
1970,42.81537,-1.65362,1
1970,42.83836,-88.74322,1
1970,42.91988,-3.06007,1
1970,43.06439,-87.9662,5
1970,43.07295,-89.38669,3
1970,43.07659,-89.41249,1
1970,43.11126,-87.89863,1
1970,43.11366,-87.90029,1
1970,43.11846,-87.90229,1
1970,43.28705,-89.72436,1
1970,43.29162,-1.9779,1
1970,43.4685,-89.7443,1
1970,43.93914,-90.82037,3
1970,44.04483,-123.07261,4
1970,44.26029,-88.39746,1
1970,44.2686,-88.42844,1
1970,44.94383,-93.09333,3
1970,44.9466,-93.13645,1
1970,44.96498,-93.26019,2
1970,45.03181,-93.33655,1
1970,45.5118,-122.67563,7
1970,45.78398,-108.50579,1
1970,46.14358,-122.92564,1
1970,46.19839,6.1423,1
1970,46.40497,-117.00934,1
1970,46.73196,-117.1626,1
1970,46.80314,-71.2413,2
1970,47.36865,8.53918,2
1970,47.61079,-122.33131,18
1970,48.13913,11.58019,6
1970,48.77711,9.18077,1
1970,49.29464,8.69774,1
1970,50.11797,8.64419,4
1970,50.83643,4.36742,1
1970,51.50439,-0.14004,2
1970,52.37022,4.89517,2
1970,52.50153,13.40185,20
1970,53.36168,-6.24548,1
1970,54.07731,-6.60879,1
1970,54.60771,-5.95621,7
1970,55.01156,-7.31204,2
1971,-34.9213,-57.95433,1
1971,-34.89115,-56.18721,8
1971,-34.68631,-58.52847,1
1971,-34.45872,-58.90725,1
1971,-33.87365,151.20689,1
1971,-31.3993,-64.18213,4
1971,-23.55071,-46.63348,3
1971,-16.50932,-68.10434,1
1971,9.93333,-84.08333,1
1971,10.48283,-66.96213,4
1971,11.58351,37.39702,1
1971,12.82565,44.84642,1
1971,14.59605,120.97867,2
1971,18.38693,-66.06113,8
1971,18.44216,-66.0263,2
1971,18.45679,-69.95116,3
1971,21.3,-157.81897,2
1971,23.58333,119.58333,1
1971,25.77459,-80.2142,1
1971,26.71439,-80.05269,3
1971,27.94653,-82.45927,1
1971,28.50502,-16.19265,1
1971,29.59132,52.58361,1
1971,29.81382,-95.3653,1
1971,30.08463,31.33431,1
1971,30.33138,-81.6558,1
1971,31.28551,48.64342,1
1971,31.53034,-83.83535,1
1971,31.7716,35.2034,1
1971,31.95,35.93333,2
1971,32.46292,-84.98763,1
1971,32.71569,-117.16172,1
1971,33.42551,-111.93742,1
1971,33.42558,-94.04825,4
1971,33.44865,-84.45456,1
1971,33.74502,-84.39167,4
1971,33.78359,-118.35388,1
1971,33.88852,35.50351,1
1971,33.95335,-117.39616,1
1971,33.97371,-117.32806,1
1971,34.01515,-118.1229,1
1971,34.02242,-118.16706,1
1971,34.02244,-118.16697,1
1971,34.03825,-117.75211,1
1971,34.04231,-118.14151,1
1971,34.05483,-117.75003,1
1971,34.0551,-117.74999,2
1971,34.08107,-118.39408,1
1971,34.0961,-117.7164,2
1971,34.09772,-117.70945,1
1971,34.09787,-118.40738,31
1971,34.10607,-117.7164,1
1971,34.13149,-118.10157,1
1971,34.18653,-118.14578,1
1971,34.20034,-119.18044,1
1971,34.22553,-118.87891,1
1971,34.25064,-118.61481,1
1971,34.41926,-119.69887,2
1971,35.07801,-78.96365,1
1971,35.20589,-97.44571,3
1971,35.2149,-80.00123,1
1971,35.2225,-80.83754,1
1971,35.48747,-80.622,1
1971,35.72453,51.40519,5
