year,lat,long,count
2015,33.19899,68.11029,1
2015,33.2014,41.69802,1
2015,33.20336,44.58669,4
2015,33.20337,44.51458,1
2015,33.21395,68.38618,2
2015,33.21696,74.41856,1
2015,33.22704,44.52779,6
2015,33.23644,35.84735,1
2015,33.23778,70.27667,1
2015,33.23972,65.45986,1
2015,33.24138,44.02467,1
2015,33.24154,69.82872,1
2015,33.24222,69.82806,1
2015,33.24245,44.56217,1
2015,33.24265,65.46503,1
2015,33.24304,65.46386,1
2015,33.24585,43.97293,1
2015,33.24718,44.02545,11
2015,33.24999,73.29889,1
2015,33.2521,62.36489,1
2015,33.2555,70.49143,1
2015,33.26308,68.57241,2
2015,33.26718,68.57235,2
2015,33.26966,35.77235,1
2015,33.27261,35.62364,3
2015,33.27639,44.51778,1
2015,33.27921,44.51715,1
2015,33.28,44.51958,1
2015,33.2905,44.06769,1
2015,33.29194,44.06551,2
2015,33.29194,44.06556,11
2015,33.29198,44.06564,1
2015,33.29217,44.0657,2
2015,33.29414,62.14777,2
2015,33.29414,68.90443,1
2015,33.2953,68.49591,1
2015,33.30102,68.40502,3
2015,33.30206,62.17206,1
2015,33.30357,44.37177,996
2015,33.30432,62.11767,1
2015,33.30438,62.1542,1
2015,33.30567,62.15631,3
2015,33.30583,68.44694,1
2015,33.3059,69.87141,1
2015,33.30613,62.15682,2
2015,33.30705,62.13642,3
2015,33.30705,62.13975,1
2015,33.30744,62.13796,1
2015,33.30754,62.15736,1
2015,33.30761,62.14708,1
2015,33.30785,67.18505,1
2015,33.30841,62.15483,1
2015,33.30864,62.15639,1
2015,33.3089,62.13798,2
2015,33.30915,62.13639,1
2015,33.31023,62.16447,1
2015,33.31065,44.03821,23
2015,33.31592,70.54347,1
2015,33.31667,68.45,1
2015,33.3175,68.45012,2
2015,33.31833,43.7836,3
2015,33.31849,68.45261,1
2015,33.31862,68.47621,1
2015,33.31874,43.78364,1
2015,33.31942,68.45004,1
2015,33.32139,71.15861,1
2015,33.32445,44.42204,1
